,v_5057,v_5060,v_5072,v_5069,v_5041,v_5070,v_5058,v_5043,v_5078,v_5076,v_5055,v_5053,v_958,v_5042,v_5044,v_959,v_5056,v_4395,v_4385,v_4386,v_4396,v_5054,['AGBin: Gecombineerde Verpleeginrichtingen'],v_993,v_4397,v_4398,['AGBin: Koepels en Beheerstichtingen WLZ'],v_5135,v_5085,['SBI: 87'],v_5081,['AGBin: Ziekenhuizen'],v_994,v_5076 NULL,v_5078 NULL,v_958 NULL,v_5077 NULL,v_5196 NULL,v_5194 NULL,['AGBP: Fysiotherapeuten'],v_959 NULL,['BIGP: Fysiotherapeuten'],['KWAL_P: Fysiotherapie'],v_5192 NULL,v_993 NULL,v_5193 NULL,v_994 NULL,v_5195 NULL,['AGBP: Verpleegkundigen']
33,7.0,10.0,11.0,8.0,0.0,4.15,4.05,6.0,100.0,100.0,6.0,0.0,294644.0,0.0,1.4,388688.0,1.4,288734.0,222370.0,280142.0,380025.0,0.0,0.0,51105.0,5910.0,8663.0,0.0,0.0,0.0,1.0,12.0,0.0,-25433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,74.0,72.5,85.5,92.0,23.0,37.91,35.14,20.0,100.0,76.31,22.0,35.0,3951853.0,7.9,5.64,2932047.0,5.84,2227685.0,1584059.0,1435181.0,1985301.0,9.5,0.0,-84046.0,1724168.0,946746.0,0.0,2.0,10.8,0.0,4.6,0.0,114626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,9983.0,0.0,0.0,51652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,9983.0,51652.0,0.0,0.0,100.0,0.0,0.0,0.0,-8354.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
36,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,100.0,93.4,0.0,0.0,1781505.0,0.0,0.0,1550128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429092.0,1781505.0,1550128.0,0.0,0.0,7.0,0.0,0.0,0.0,903805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,25.0,24.0,24.0,25.0,6.0,21.75,21.75,4.0,100.0,92.0,4.0,6.0,1067117.0,3.22,1.34,939207.0,1.34,1049713.0,822494.0,737026.0,932458.0,3.22,0.0,158386.0,17404.0,6749.0,0.0,0.0,5.0,1.0,65.0,0.0,-12067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0.0,0.0,1.0,2.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
40,1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
41,9.0,9.0,10.0,10.0,0.0,5.9,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
42,17.0,17.0,17.5,18.0,8.0,12.0,11.0,8.0,100.0,85.0,13.0,14.0,750642.0,5.0,5.0,0.0,5.0,750642.0,750642.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,1.0,1.0,1.0,1.0,1.0,0.11,0.11,1.0,0.0,0.0,1.0,1.0,0.0,0.11,0.44,0.0,0.44,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
45,791.0,745.0,749.5,794.0,447.0,117.39,114.47,355.0,100.0,95.0,369.0,458.0,5917492.0,37.8,26.89,4074868.0,36.33,4817419.0,3666993.0,2426133.0,3253043.0,44.27,0.0,628033.0,1100073.0,821825.0,0.0,0.0,22.0,0.0,0.0,0.0,2373140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,45.0,36.5,38.0,47.0,17.0,29.73,27.73,0.0,100.0,90.0,0.0,18.0,1953200.0,5.44,0.0,1711227.0,0.0,1801300.0,1410379.0,1341270.0,1649425.0,6.44,0.0,78697.0,151900.0,61802.0,0.0,1.0,5.0,1.0,16.0,0.0,14291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,6527.0,6494.0,6494.0,6527.0,957.0,4044.17,4044.17,891.0,100.0,74.73,891.0,957.0,260553000.0,440.97,394.95,256121000.0,394.95,251002000.0,193908000.0,191966000.0,248273000.0,440.97,0.0,40809000.0,9551000.0,7848000.0,0.0,80.0,18.11,0.0,27.0,0.0,9352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,145.0,149.0,149.5,146.0,59.0,130.64,130.42,67.0,100.0,80.0,76.0,69.0,7304075.0,22.27,39.29,6993051.0,45.67,7215809.0,5299884.0,4998731.0,6782507.0,28.87,0.0,-171582.0,88266.0,210544.0,0.0,0.0,8.3,2.0,13.72,0.0,623306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
50,10.0,9.5,11.0,11.0,4.0,5.87,5.8,3.0,0.0,0.0,4.0,4.0,0.0,1.7,0.7,0.0,1.4,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
51,5406.0,5382.5,5612.5,5661.0,1037.0,3757.53,3588.6,990.0,100.0,76.38,1037.0,1134.0,224473682.0,453.85,397.57,220500178.0,430.54,202312151.0,153602014.0,156787766.0,202180190.0,524.57,6.0,24379895.0,22161531.0,18319988.0,1.0,55.0,8.4,3.0,77.5,0.0,10773855.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0
52,0.0,0.0,4.0,4.0,0.0,2.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
53,1.0,1.0,1.5,2.0,0.0,0.35,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1312.0,1307.5,1320.0,1334.0,219.0,866.4,855.4,210.0,100.0,86.0,211.0,239.0,51003150.0,109.8,105.9,49332306.0,106.4,48872913.0,37841021.0,36192718.0,47385398.0,119.8,0.0,543965.0,2130237.0,1946908.0,1.0,8.0,2.0,1.0,96.0,0.0,4961360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,259.0,257.0,267.5,272.0,42.0,220.36,212.96,38.0,100.0,77.63,39.0,48.0,12619355.0,28.33,27.5,12900932.0,27.72,12133673.0,9541833.0,9572683.0,12335925.0,30.77,0.0,-593443.0,485682.0,565007.0,1.0,2.0,80.1,2.0,1.2,0.0,-555411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
